"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"575","GO:0015909","GO:0015909","long-chain fatty acid transport","12/1187","67/18903",0.000855879842668102,0.00829384779712463,0.00606675835388721,"PLA2G5/PLA2G4A/PLA2R1/PPARG/ACSL1/SLC27A6/FABP4/ANXA1/DRD2/ABCD2/IRS2/NMB",12
"574","GO:0048008","GO:0048008","platelet-derived growth factor receptor signaling pathway","11/1187","58/18903",0.000848275589911183,0.0082344801166988,0.00602333226505795,"F3/TXNIP/CSRNP1/ADIPOQ/PDGFRA/SNCA/PDGFRL/ARID5B/PDGFD/F7/MIR221",11
"573","GO:0003007","GO:0003007","heart morphogenesis","30/1187","258/18903",0.000839666499219439,0.00816513391562079,0.00597260711854077,"STIL/JUN/CCN1/TGFBR3/S1PR1/COL11A1/PROX1/TGFBR2/SLIT2/PKD2/SPRY1/NPY1R/SLIT3/EDN1/HEY2/DLC1/NRG1/SOX17/TEK/PTCH1/GATA3/RBP4/FOLR1/FLRT2/ALDH1A2/TMEM100/BMP2/CCM2L/ADAMTS1/CLDN5",30
"571","GO:0010719","GO:0010719","negative regulation of epithelial to mesenchymal transition","9/1187","41/18903",0.000829198611802699,0.00807743822546265,0.00590845974401923,"MARK1/EPHA4/IL17RD/SPRY1/SFRP1/GATA3/SPRY2/FOXA1/HPN",9
"572","GO:1903524","GO:1903524","positive regulation of blood circulation","9/1187","41/18903",0.000829198611802699,0.00807743822546265,0.00590845974401923,"EDN2/RGS2/EDN1/HEY2/ADM/SCN3B/AVPR1A/EDN3/ADM2",9
"570","GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","29/1187","246/18903",0.000816991070206492,0.00798644604068522,0.00584190105972214,"FZD7/EPHB1/MAPK10/PTGER4/SH3RF2/DUSP1/SASH1/PRKN/MTURN/SEMA3A/LEP/PBK/SFRP1/CCL21/TLR4/CRYAB/DIXDC1/FOXM1/IGFBP6/FOXO1/PER1/MAP2K6/ZFP36/SIRPA/BMP2/PLCB1/MAPK8IP2/MID1/ARHGEF6",29
"568","GO:0042415","GO:0042415","norepinephrine metabolic process","5/1187","13/18903",0.000814345164827955,0.007974571631672,0.00583321520342955,"EPAS1/RNF180/PRKN/GATA3/KL",5
"569","GO:1904995","GO:1904995","negative regulation of leukocyte adhesion to vascular endothelial cell","5/1187","13/18903",0.000814345164827955,0.007974571631672,0.00583321520342955,"CCL28/CCL21/KLF4/CXCL12/MIR221",5
"566","GO:1904375","GO:1904375","regulation of protein localization to cell periphery","18/1187","125/18903",0.000807031468687982,0.00793777971565659,0.00580630276552354,"EPHA2/PKDCC/SPTBN1/PID1/STAC/LRRC15/PIK3R1/MRAP2/EPB41L2/AGR2/GNAI1/ZDHHC2/SAPCD2/SORBS1/PLK1/STAC2/MISP/PRNP",18
"567","GO:1901978","GO:1901978","positive regulation of cell cycle checkpoint","6/1187","19/18903",0.000807738890663548,0.00793777971565659,0.00580630276552354,"CDCA8/PROX1/MAD2L1/PBK/AURKB/NDC80",6
"564","GO:0000132","GO:0000132","establishment of mitotic spindle orientation","8/1187","33/18903",0.000798731388974795,0.0078770465475532,0.00576187785395511,"CENPA/MAD2L1/SPRY1/SAPCD2/SPRY2/PLK1/NDC80/MISP",8
"565","GO:0048799","GO:0048799","animal organ maturation","8/1187","33/18903",0.000798731388974795,0.0078770465475532,0.00576187785395511,"FGFR3/LEP/GATA3/RET/ZBTB16/IGF1/ALDH1A2/BMP2",8
"561","GO:0010862","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","10/1187","49/18903",0.00079586773809147,0.00787668745407757,0.0057616151853607,"BMP8A/INHBB/PPARG/TGFBR2/BMP6/TTK/INHBA/GDF10/GDF15/BMP2",10
"562","GO:0046460","GO:0046460","neutral lipid biosynthetic process","10/1187","49/18903",0.00079586773809147,0.00787668745407757,0.0057616151853607,"PLA2G4A/ACSL1/GPLD1/LPL/GPAM/PNPLA2/DGAT2/THRSP/C3/RGN",10
"563","GO:0046463","GO:0046463","acylglycerol biosynthetic process","10/1187","49/18903",0.00079586773809147,0.00787668745407757,0.0057616151853607,"PLA2G4A/ACSL1/GPLD1/LPL/GPAM/PNPLA2/DGAT2/THRSP/C3/RGN",10
"560","GO:0001654","GO:0001654","eye development","41/1187","388/18903",0.000771797945466136,0.00767938955738805,0.00561729632489639,"ANGPTL7/EPHA2/MFAP2/JUN/NES/PROX1/EFEMP1/THRB/RARB/TGFBR2/CRYBG3/NECTIN3/EPHB1/PDGFRA/BMPR1B/FGF2/SPRY1/FAT1/BMP6/AQP1/INHBA/NTRK2/KLF4/GATA3/RET/RBP4/TUB/FZD4/CRYAB/DRD2/MAB21L1/SPRY2/RHOJ/MEIS2/ALDH1A2/ALDH1A3/ARHGEF15/PTPRM/CPAMD8/SLC17A7/CHRDL1",41
"559","GO:0051924","GO:0051924","regulation of calcium ion transport","31/1187","268/18903",0.000757938734684016,0.00755498144840668,0.0055262946628312,"GSTM2/STAC/MYLK/CXCL9/CXCL10/CXCL11/PKD2/SNCA/ANK2/ADCYAP1R1/CACNA2D1/CAV1/CXCL12/ADRA2A/PLPP4/AHNAK/TRPC6/DRD2/CABP1/PRKD1/GRAMD2A/CEMIP/CX3CL1/STAC2/HAP1/PRNP/REM1/JPH2/DMD/RGN/CLIC2",31
"554","GO:0060389","GO:0060389","pathway-restricted SMAD protein phosphorylation","12/1187","66/18903",0.000744401864049968,0.0074588195907527,0.00545595448207097,"BMP8A/TGFBR3/INHBB/PPARG/TGFBR2/BMP6/TTK/BMPER/INHBA/GDF10/GDF15/BMP2",12
"555","GO:0002526","GO:0002526","acute inflammatory response","17/1187","114/18903",0.000746044773295589,0.0074588195907527,0.00545595448207097,"PTGER3/F3/FCGR1A/TNFSF4/TACR1/FN1/DNASE1L3/F12/GATA3/ADRA2A/ADAM8/SAA1/A2M/KL/EDNRB/C3/F8",17
"556","GO:0006641","GO:0006641","triglyceride metabolic process","16/1187","104/18903",0.000746952859231875,0.0074588195907527,0.00545595448207097,"CPS1/MGLL/ACSL1/GPLD1/TNXB/CAV1/LPL/GPIHBP1/GPAM/PNPLA2/CAT/DGAT2/THRSP/C3/LIPE/RGN",16
"557","GO:0014896","GO:0014896","muscle hypertrophy","16/1187","104/18903",0.000746952859231875,0.0074588195907527,0.00545595448207097,"RGS2/PPARG/KLF15/PDE5A/SORBS2/MIR145/EDN1/PI16/HEY2/LEP/EZH2/IGF1/FOXO1/PRKCA/PDE9A/PPARA",16
"558","GO:0110020","GO:0110020","regulation of actomyosin structure organization","16/1187","104/18903",0.000746952859231875,0.0074588195907527,0.00545595448207097,"S1PR1/PROX1/TACR1/ECT2/PTGER4/PIK3R1/EDN1/DLC1/SFRP1/RHPN1/RAPGEF3/RGCC/FERMT2/CORO2B/ARHGEF15/ARHGAP6",16
"550","GO:0043534","GO:0043534","blood vessel endothelial cell migration","23/1187","177/18903",0.000730919604036552,0.00738481838087624,0.00540182430399229,"EPHA2/AKT3/MIR10B/PPARG/SLIT2/FGF2/GPLD1/MEOX2/EGR3/ANGPT1/ANXA1/MIR27B/KLF4/MMRN2/NR4A1/RGCC/PRKD1/CLEC14A/RHOJ/CDH5/STAT5A/PRKCA/MIR221",23
"551","GO:0072078","GO:0072078","nephron tubule morphogenesis","13/1187","75/18903",0.000731073335007789,0.00738481838087624,0.00540182430399229,"KIF26B/OSR1/SIX2/PKD2/FGF2/IRX1/KLHL3/FGF1/PTCH1/GATA3/LGR4/BMP2/GPC3",13
"552","GO:0002042","GO:0002042","cell migration involved in sprouting angiogenesis","15/1187","94/18903",0.000732147394862147,0.00738481838087624,0.00540182430399229,"AKT3/MIR10B/SLIT2/FGF2/GPLD1/MEOX2/EGR3/ANXA1/MIR27B/KLF4/MMRN2/NR4A1/CLEC14A/RHOJ/MIR221",15
"553","GO:0046660","GO:0046660","female sex differentiation","18/1187","124/18903",0.000732915392071888,0.00738481838087624,0.00540182430399229,"INHBB/TP63/SLIT2/PDGFRA/KIT/BMPR1B/SLIT3/ADCYAP1R1/INHBA/LEP/SFRP1/ARID5B/RBP4/FZD4/A2M/TYRO3/FANCA/ADAMTS1",18
"547","GO:0043583","GO:0043583","ear development","27/1187","221/18903",0.000706038029613045,0.00717136237694618,0.00524568616079185,"ROR1/COL11A1/PROX1/OSR1/SIX2/EPHA4/CYTL1/CCNA2/FGF2/EDN1/SLC44A4/TBX18/SOBP/HEY2/HOXA2/BMPER/TPRN/GATA3/CDH23/LRIG3/GJB2/SPRY2/NTRK3/ALDH1A3/CEBPA/HPN/BMP2",27
"548","GO:0010675","GO:0010675","regulation of cellular carbohydrate metabolic process","21/1187","155/18903",0.000706582545754388,0.00717136237694618,0.00524568616079185,"LEPR/KAT2B/PTH1R/ADIPOQ/SNCA/NR3C1/GPLD1/PRKN/ADCYAP1R1/PDK4/LEP/SORBS1/DGAT2/IGF1/ACACB/FOXO1/IRS2/TFF3/PPARA/RGN/PFKFB1",21
"549","GO:0032368","GO:0032368","regulation of lipid transport","21/1187","155/18903",0.000706582545754388,0.00717136237694618,0.00524568616079185,"PLA2G4A/PLA2R1/PPARG/ADIPOQ/SPP1/ACSL1/BMP6/EDN1/PRKN/EEPD1/CAV1/LEP/MIR27B/PTCH1/IRS2/NMB/CES1/ABCA5/MAP2K6/PLTP/PPARA",21
"546","GO:0015844","GO:0015844","monoamine transport","14/1187","84/18903",0.000697874219138549,0.00712189587736263,0.00520950255736353,"OXTR/SNCA/SLC22A3/PRKN/SLC29A4/MAPK15/CXCL12/SNCG/ADRA2A/SYT13/DRD2/KCNB1/GPM6B/MAOB",14
"540","GO:1903532","GO:1903532","positive regulation of secretion by cell","32/1187","278/18903",0.000683589601790356,0.00700173258924836,0.00512160588384963,"WLS/PLA2G4A/TACR1/INHBB/OXTR/PPARG/MYRIP/SPP1/SNCA/BMP6/EDN1/GPLD1/INHBA/LEP/TLR4/CXCL12/FFAR4/RBP4/ADAM8/DRD2/AVPR1A/IGF1/HCAR2/RGCC/IRS2/NMB/DOC2B/MAP2K6/BMP2/KCNB1/EDN3/ACSL4",32
"541","GO:0009187","GO:0009187","cyclic nucleotide metabolic process","9/1187","40/18903",0.000684842832221887,0.00700173258924836,0.00512160588384963,"EPHA2/NPR1/ADCY5/PDE5A/PDE7B/NPR2/PDE2A/ADCY4/PDE9A",9
"542","GO:0045823","GO:0045823","positive regulation of heart contraction","9/1187","40/18903",0.000684842832221887,0.00700173258924836,0.00512160588384963,"EDN2/RGS2/EDN1/HEY2/ADM/SCN3B/AVPR1A/EDN3/ADM2",9
"543","GO:0045923","GO:0045923","positive regulation of fatty acid metabolic process","9/1187","40/18903",0.000684842832221887,0.00700173258924836,0.00512160588384963,"PPARG/ADIPOQ/MLXIPL/ANXA1/ABCD2/AVPR1A/IRS2/PPARA/RGN",9
"544","GO:0051154","GO:0051154","negative regulation of striated muscle cell differentiation","9/1187","40/18903",0.000684842832221887,0.00700173258924836,0.00512160588384963,"RGS2/FZD7/PI16/EZH2/CCN3/BHLHE41/CEACAM5/BMP2/PPARA",9
"545","GO:0051294","GO:0051294","establishment of spindle orientation","9/1187","40/18903",0.000684842832221887,0.00700173258924836,0.00512160588384963,"CENPA/MAD2L1/SPRY1/SAPCD2/SPRY2/PLK1/SPAG5/NDC80/MISP",9
"538","GO:0061028","GO:0061028","establishment of endothelial barrier","10/1187","48/18903",0.000670646511364803,0.00693291718242056,0.00507126900108293,"PDE2A/ROBO4/RAPGEF3/EDNRB/CDH5/PECAM1/PLCB1/PPP1R16B/CLDN5/FOXP3",10
"539","GO:1901976","GO:1901976","regulation of cell cycle checkpoint","10/1187","48/18903",0.000670646511364803,0.00693291718242056,0.00507126900108293,"CDCA8/PROX1/MAD2L1/CCNB1/DUSP1/PBK/RAD51/CDT1/AURKB/NDC80",10
"537","GO:0030203","GO:0030203","glycosaminoglycan metabolic process","18/1187","123/18903",0.000664714882419755,0.00689719054905563,0.00504513579286345,"HYAL1/NDNF/FGF2/EGFLAM/HMMR/UST/ANGPT1/ITIH5/CHST3/HPSE2/LYVE1/DCN/EDNRB/CEMIP/HAS3/CHST9/DSEL/BGN",18
"536","GO:0006979","GO:0006979","response to oxidative stress","45/1187","434/18903",0.000656980653811905,0.00682965709522376,0.00499573662914316,"ANGPTL7/JUN/TXNIP/DDR2/TPO/EPAS1/TACR1/PLA2R1/HYAL1/ECT2/ADIPOQ/SOD3/PDGFRA/PKD2/SNCA/SELENOP/GPX3/EDN1/NCOA7/PRKN/AQP1/EZH2/ANXA1/TLR4/AKR1C3/CDK1/AIFM2/CAT/MMP3/PDGFD/CRYAB/MSRB3/GJB2/FOXO1/PRKD1/FOS/FBLN5/CYGB/PYCR1/KLF2/SIRPA/PRNP/SGK2/RCAN1/MGAT3",45
"535","GO:0030168","GO:0030168","platelet activation","19/1187","133/18903",0.000647131889662621,0.00673984839102827,0.00493004363359305,"PEAR1/SELP/PLA2G4A/CSRP1/FN1/P2RY12/PDGFRA/MMRN1/F2RL2/TLR4/ADRA2A/SAA1/VWF/CTSG/TYRO3/PRKCA/EMILIN2/COMP/MYL9",19
"534","GO:0019221","GO:0019221","cytokine-mediated signaling pathway","50/1187","496/18903",0.000645645302299501,0.00673695809815135,0.00492792945102241,"ISG15/TNFRSF18/EDN2/LEPR/F3/ACKR1/GREM2/GPR75/ACKR3/PPARG/CX3CR1/IL17RD/ACKR4/ADIPOQ/SLIT2/KIT/CXCL3/CXCL2/CXCL9/CXCL10/CXCL11/ACSL1/LIFR/GHR/TSLP/EGR1/SLIT3/EDN1/IL20RA/PRKN/CAV1/LEP/ANGPT1/IL33/CNTFR/IL11RA/CCL21/MIR27B/CCDC3/CXCL12/IRF7/FZD4/IRAK3/CTSG/CX3CL1/IL34/CCL14/STAT5A/CEBPA/PLCB1",50
"530","GO:0016042","GO:0016042","lipid catabolic process","37/1187","336/18903",0.000638838013308539,0.00669617322408425,0.004898096256405,"PLCH2/PLA2G5/PLA2G4A/CYP26B1/ACADL/CPS1/MGLL/PLD1/ADIPOQ/HSD17B11/SPP1/GPLD1/CLPSL2/CLPSL1/CYP39A1/LEP/RARRES2/LPL/ENPP2/GPIHBP1/AKR1C3/ADRA2A/PNPLA2/PDE3B/LGALS12/ABCD2/HSD17B6/ACACB/HCAR2/IRS2/PLIN1/CES1/NUDT7/PAFAH1B3/LIPE/PLCB1/PPARA",37
"531","GO:0043552","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","8/1187","32/18903",0.000639934236030877,0.00669617322408425,0.004898096256405,"P2RY12/FGFR3/PDGFRA/KIT/FGF2/TEK/CCL21/PRKD1",8
"532","GO:0090307","GO:0090307","mitotic spindle assembly","13/1187","74/18903",0.00064053487588602,0.00669617322408425,0.004898096256405,"CDCA8/CDC20/NEK2/KIF15/KIFC1/KIFC2/KIF11/RACGAP1/KIF23/PLK1/AURKB/MISP/KIF4A",13
"533","GO:2000628","GO:2000628","regulation of miRNA metabolic process","13/1187","74/18903",0.00064053487588602,0.00669617322408425,0.004898096256405,"JUN/ATOH8/PPARG/FGF2/EGR1/NR3C1/NFIB/KLF4/GATA3/FOS/NGFR/BMP2/PPARA",13
"526","GO:0110151","GO:0110151","positive regulation of biomineralization","11/1187","56/18903",0.000622325106138114,0.00656261130064447,0.00480039879020958,"ISG15/CCN1/OSR1/PKDCC/BMPR1B/ADRB2/BMP6/PTN/KL/BMP2/GPM6B",11
"527","GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","11/1187","56/18903",0.000622325106138114,0.00656261130064447,0.00480039879020958,"JUN/ATOH8/PPARG/FGF2/EGR1/NR3C1/KLF4/GATA3/FOS/NGFR/BMP2",11
"528","GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","23/1187","175/18903",0.000623047627071235,0.00656261130064447,0.00480039879020958,"JUN/S1PR1/NPR1/DDR2/TACR1/PPARG/TGFBR2/ADIPOQ/FGF2/MIR145/EDN1/CCN4/OGN/MIR27B/TLR4/PDGFD/IGF1/CX3CL1/CDH13/CNN1/BMP2/ADAMTS1/MIR221",23
"529","GO:0071453","GO:0071453","cellular response to oxygen levels","23/1187","175/18903",0.000623047627071235,0.00656261130064447,0.00480039879020958,"DDR2/CD34/EPAS1/SCN2A/EPHA4/PPARG/NDNF/CCNA2/EGR1/MIR145/KCNMB1/EDN1/AQP1/CAV1/SFRP1/ADAM8/FOXO1/RGCC/FOS/SLC2A4/BRIP1/E2F1/PTGIS",23
"523","GO:0006094","GO:0006094","gluconeogenesis","14/1187","83/18903",0.000616543935428438,0.00654358630134715,0.00478648244206298,"LEPR/ATF3/KAT2B/ADIPOQ/NR3C1/LEP/RBP4/DGAT2/GPD1/SDS/FOXO1/ALDOC/PPARA/PFKFB1",14
"524","GO:0030500","GO:0030500","regulation of bone mineralization","14/1187","83/18903",0.000616543935428438,0.00654358630134715,0.00478648244206298,"ISG15/CCN1/S1PR1/DDR2/OSR1/PKDCC/BMPR1B/ADRB2/BMP6/PTN/KL/COMP/BMP2/GPM6B",14
"525","GO:0042310","GO:0042310","vasoconstriction","14/1187","83/18903",0.000616543935428438,0.00654358630134715,0.00478648244206298,"EDN2/TACR1/OXTR/EDN1/CAV1/LEP/ACTA2/ADRA2A/ADM/AVPR1A/EDNRB/COMP/EDN3/AVPR2",14
"522","GO:0060562","GO:0060562","epithelial tube morphogenesis","37/1187","335/18903",0.000604023272598337,0.00644754343854011,0.00471622930328849,"EPHA2/STIL/PROX1/KIF26B/OSR1/SIX2/EPHA4/TGFBR2/SLIT2/CXCL10/PKD2/LEF1/FGF2/SPRY1/IRX1/KLHL3/FGF1/NR3C1/EDN1/NOTCH4/HOXA5/DLC1/SFRP1/SOX17/PTCH1/GATA3/RET/MMRN2/ADM/LGR4/FOLR1/SPRY2/FOXA1/RGMA/RASIP1/BMP2/GPC3",37
