"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"503","GO:0032637","GO:0032637","interleukin-8 production","18/1430","104/18903",0.000757518640690405,0.00846372715840969,0.0066755488039077,"PTPN22/CD2/CD244/PTPRC/ANXA4/TLR2/TLR3/CD74/SERPINE1/LRRC19/AFAP1L2/CLEC7A/PYCARD/LGALS9/CD33/LILRA2/TLR7/TLR8",18
"501","GO:0050864","GO:0050864","regulation of B cell activation","29/1430","204/18903",0.000744395976891192,0.00835031015993712,0.00658609404073707,"TNFRSF4/THEMIS2/LAPTM5/VAV3/MNDA/SLAMF8/FCGR2B/PTPRC/INPP5D/CD74/CARD11/SFRP1/TBC1D10C/CD27/NCKAP1L/SLC15A4/GPR183/TNFSF13B/IKZF3/CD300A/FOXJ1/TYROBP/TGFB1/IL4I1/ADA/CD40/NFAM1/BTK/SASH3",29
"499","GO:0032757","GO:0032757","positive regulation of interleukin-8 production","13/1430","63/18903",0.000741980653025612,0.00834201555868986,0.00657955188567952,"CD2/CD244/TLR2/TLR3/CD74/SERPINE1/AFAP1L2/CLEC7A/PYCARD/LGALS9/LILRA2/TLR7/TLR8",13
"500","GO:0046717","GO:0046717","acid secretion","11/1430","48/18903",0.000742172202730414,0.00834201555868986,0.00657955188567952,"PTGER3/SLC9A4/SLC6A1/CASR/HRH2/ABCB4/SLC26A7/KCNQ1/P2RX7/ABAT/UMOD",11
"498","GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","24/1430","157/18903",0.000734763186490261,0.00829190583950857,0.0065400291234633,"TACSTD2/PBX1/GDF7/CASR/NPNT/EGF/ADAMTS16/FGF1/VEGFA/PKHD1/TCF21/RDH10/MYC/WT1/VDR/TBX3/COL4A1/DLL4/CTSH/ESRP2/HS3ST3B1/LHX1/BMP7/GPC3",24
"496","GO:0010765","GO:0010765","positive regulation of sodium ion transport","9/1430","34/18903",0.000732842020310058,0.00828686550129281,0.00653605368532385,"ATP1B1/GPD1L/ANK3/WNK1/CNTN1/NOS1/PRSS8/WNK4/SCN1B",9
"497","GO:0033006","GO:0033006","regulation of mast cell activation involved in immune response","9/1430","34/18903",0.000732842020310058,0.00828686550129281,0.00653605368532385,"CD84/GATA2/ENPP3/LGALS9/CD300A/UNC13D/ADGRE2/HMOX1/RAC2",9
"495","GO:0002064","GO:0002064","epithelial cell development","30/1430","213/18903",0.000711362387466441,0.00807647801527555,0.00637011592476594,"KDF1/GSTM3/ADAMTSL4/RAB25/NPHS2/PROX1/SDC1/SLC9A4/EPB41L5/TFCP2L1/CXCR4/GATA2/ARHGEF26/SHROOM3/MARVELD2/VEGFA/PKHD1/PRDM1/DACT2/MAGI2/GRHL2/COL15A1/VIM/EXPH5/ST14/RAPGEF3/FOXJ1/TYMS/TJP3/GPR4",30
"494","GO:2000146","GO:2000146","negative regulation of cell motility","47/1430","383/18903",0.000696505242803207,0.00792380458411746,0.00624969865212935,"PADI2/CLDN19/TACSTD2/TMIGD3/ADORA3/SLAMF8/TNFAIP6/SRGAP3/CD200/PFN2/CXCL13/SAP30/CD74/GJA1/HOXA7/IGFBP3/MAGI2/SERPINE1/EPHA1/ANGPT2/GNRH1/SFRP1/MAPK15/C5/MIR126/GATA3/CXCL12/NRG3/ARHGDIB/DCN/RGCC/DACH1/VASH1/DLL4/CDH1/MIR140/MARVELD3/NGFR/CD300A/CYGB/EMILIN2/TGFB1/ADA/HMOX1/RGN/TIMP1/WAS",47
"492","GO:0002448","GO:0002448","mast cell mediated immunity","12/1430","55/18903",0.000694529054202607,0.00791734946170112,0.00624460733905664,"CD84/GATA2/SPON2/LAT2/LGALS9/MILR1/CD300A/UNC13D/ADGRE2/HMOX1/RAC2/BTK",12
"493","GO:0003229","GO:0003229","ventricular cardiac muscle tissue development","12/1430","55/18903",0.000694529054202607,0.00791734946170112,0.00624460733905664,"TGFBR3/TNNI1/PROX1/MYL3/TNNC1/FOXC1/DSP/TBX3/DLL4/IRX3/TGFB1/PPP1R13L",12
"491","GO:1901264","GO:1901264","carbohydrate derivative transport","15/1430","78/18903",0.000660381991672686,0.00755875110631466,0.00596177203758963,"SLC15A2/SLC17A3/SLC29A4/SLC25A25/SLC29A2/SLC37A2/SCARB1/SLC15A4/SLC28A1/SLC5A2/ABCC3/SLC17A9/SLC5A1/GJB1/SLC25A5",15
"489","GO:0009081","GO:0009081","branched-chain amino acid metabolic process","8/1430","27/18903",0.000634529717526227,0.00727766737244366,0.00574007441568838,"DBT/PCCB/BCKDHB/ACADSB/ACAT1/SDS/PCCA/ALDH6A1",8
"490","GO:0042832","GO:0042832","defense response to protozoan","8/1430","27/18903",0.000634529717526227,0.00727766737244366,0.00574007441568838,"GBP2/SLC11A1/TSPAN32/CCDC88B/CLEC7A/BATF/NKG7/CD40",8
"486","GO:0090026","GO:0090026","positive regulation of monocyte chemotaxis","7/1430","21/18903",0.000630862190180208,0.00726628854696698,0.00573109965747854,"S100A14/CCR2/CXCL10/PLA2G7/SERPINE1/CXCL12/CCL5",7
"487","GO:0140131","GO:0140131","positive regulation of lymphocyte chemotaxis","7/1430","21/18903",0.000630862190180208,0.00726628854696698,0.00573109965747854,"XCL2/CCR2/CXCL13/WNK1/CCL5/CCL3/CCL4",7
"488","GO:1901222","GO:1901222","regulation of NIK/NF-kappaB signaling","19/1430","111/18903",0.000630951745715282,0.00726628854696698,0.00573109965747854,"LAPTM5/PTPN22/NLRP3/CD86/NR3C2/TLR2/TLR3/HAVCR2/TREM2/TCIM/PTP4A3/LRRC19/SPI1/CD27/NOL3/LGALS9/RASSF2/BMP7/TLR7",19
"485","GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","54/1430","454/18903",0.000619827724157461,0.0071823336283813,0.00566488235795348,"TNFRSF4/NR0B2/HEYL/CTH/TMIGD3/ADORA3/AIM2/RAB7B/PROX1/NLRP3/NLRC4/ANXA4/EOMES/CD200/HCLS1/PPARGC1A/ANXA3/TLR2/TLR3/JMY/HAVCR2/VEGFA/ADGRF1/PKHD1/ENPP1/CARD11/MTURN/CAV1/EZH2/CDKN2A/CARD9/PRKCQ/ADAM8/CAT/SPI1/CARD16/LPAR5/CLEC7A/RGCC/PYCARD/NLRC5/MIR140/LGALS9/CDK5RAP3/FOXJ1/NLRP2/HCK/E2F1/CD40/BMP7/HMOX1/NFAM1/EDA2R/BTK",54
"484","GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","11/1430","47/18903",0.000613461956755073,0.00712325660529651,0.00561828686362682,"FCGR1A/FCGR2B/IL20RB/NPY5R/PLK2/TREM2/CCR7/RHBDF2/C3/HCK/BTK",11
"483","GO:0003002","GO:0003002","regionalization","45/1430","360/18903",0.000606450139010988,0.00705641776654607,0.00556556943527355,"HES4/C1QA/HEYL/WLS/PBX1/BTG2/CYP26B1/EMX1/EPB41L5/HOXD10/HOXD8/HOXD3/NRP2/EOMES/BMPR1B/IRX2/IRX1/FGF1/FOXC1/HOXA7/COBL/BMP1/SFRP1/DMRT2/CRB2/LMX1B/WT1/CDON/BHLHE41/TBX3/DLL4/ALDH1A2/PCSK6/ITGAM/IRX3/LHX1/HOXB5/HOXB6/HOXB8/HOXB9/FOXJ1/C3/OVOL2/RIPPLY1/GPC3",45
"482","GO:0060537","GO:0060537","muscle tissue development","51/1430","422/18903",0.000602671337576097,0.00702699775348063,0.00554236515075987,"HEYL/ACADM/TGFBR3/TNNI1/BTG2/PROX1/HLX/CYP26B1/HOXD10/ERBB4/DNER/EOMES/MYL3/TNNC1/PPARGC1A/PDGFRA/SAP30/HOMER1/LOX/FOXC1/DSP/VEGFA/TFAP2B/GJA1/TCF21/CAV2/CAV1/MSC/MYORG/NEBL/MYOZ1/WT1/CDON/BARX2/STAC3/TBX3/FGF9/DLL4/ALDH1A2/IRX3/CNTNAP1/GJC1/FHOD3/ALPK2/HAMP/TGFB1/PPP1R13L/MYH14/EYA2/BMP7/XK",51
"481","GO:0002279","GO:0002279","mast cell activation involved in immune response","12/1430","54/18903",0.000582521063307273,0.00680617125943217,0.00536819388901833,"CD84/GATA2/ENPP3/LAT2/LGALS9/MILR1/CD300A/UNC13D/ADGRE2/HMOX1/RAC2/BTK",12
"480","GO:0050858","GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","9/1430","33/18903",0.000577185520516437,0.00675788046937995,0.00533010576073403,"LAPTM5/GBP1/PTPN22/FCGR2B/CD300A/LILRB4/SLA2/UBASH3A/SH2D1A",9
"478","GO:0051403","GO:0051403","stress-activated MAPK cascade","33/1430","239/18903",0.00056739597092223,0.00665901579451498,0.00525212877143708,"MAGI3/PTPN22/FCGR2B/CASR/MECOM/TLR3/TREM2/VEGFA/TPD52L1/CCN2/MTURN/NCF1/SFRP1/GDF6/MYC/CARD9/SPI1/FOXM1/CRACR2A/CD27/HACD3/MAPK8IP3/PYCARD/MARVELD3/SCIMP/LGALS9/CCR7/MAP4K1/RASSF2/BIRC7/TLR7/EDA2R/DUSP9",33
"479","GO:0051453","GO:0051453","regulation of intracellular pH","16/1430","85/18903",0.000567556684265601,0.00665901579451498,0.00525212877143708,"SLAMF8/AVPR1B/ATP6V1B1/SLC9A4/SLC9A2/SLC11A1/SLC4A3/ATP6V1A/SLC9A3/SLC4A9/ATP6V0A4/ATP6V0E2/ATP6V1H/CA2/SLC4A8/SLC4A1",16
"477","GO:0008217","GO:0008217","regulation of blood pressure","28/1430","191/18903",0.000556778281964591,0.00655994537660587,0.00517398950756458,"SLC2A5/ATP1A1/AVPR1B/TACR1/SUCNR1/NPY1R/ADAMTS16/COL1A2/KCNQ1/ADM/NAV2/WNK1/SCNN1A/PTPRO/NOS1/CORO2B/ABAT/UMOD/ACSM3/SCNN1G/SCNN1B/HSD11B2/SCPEP1/GCGR/EMILIN2/HMOX1/APLN/AVPR2",28
"476","GO:0008360","GO:0008360","regulation of cell shape","24/1430","154/18903",0.000553735911386437,0.00653780634872222,0.00515652791430404,"PLEKHO1/ARHGAP15/PLXNB1/P2RY1/RHOH/SHROOM3/MYO10/RHOBTB3/CSF1R/LST1/FGD2/VEGFA/FAM171A1/WASF3/CORO1A/MYH10/CCL3/FMNL1/PALM/PALM3/MYH14/HCK/ITGB2/RAC2",24
"475","GO:0045860","GO:0045860","positive regulation of protein kinase activity","51/1430","420/18903",0.000540158100824732,0.00639092321396841,0.00504067759018935,"FCGR1A/PTPRC/PROX1/ALKAL2/ERBB4/SLC11A1/CD86/DOK7/ADRA2C/MOB1B/BTC/BMPR1B/EGF/TLR3/FGF1/CSF1R/LCP2/FGD2/VEGFA/TPD52L1/NCF1/PILRB/EZH2/TCIM/STOX1/NRG3/AFAP1L2/ADAM8/CCND1/PDGFD/WNK1/CD4/GPRC5A/NCKAP1L/P2RX7/FLT1/RGCC/CAB39L/GPRC5B/PIK3R6/PIK3R5/CCL5/ERBB2/CCR7/WNK4/CD300A/TGFB1/RASSF2/CD40/TENM1/MTCP1",51
"474","GO:0034113","GO:0034113","heterotypic cell-cell adhesion","13/1430","61/18903",0.000536017369610011,0.00635531142870941,0.00501258970337054,"VCAM1/CD2/CD1D/PTPRC/ITGA4/CD200/DSP/WNK1/ITGA5/ITGAX/LILRB2/BMP7/ITGB2",13
"471","GO:0002517","GO:0002517","T cell tolerance induction","6/1430","15/18903",0.0005111927312432,0.00607379101392555,0.00479054766054326,"HLA-G/HLA-B/IDO1/CD3E/LILRB2/LILRB4",6
"472","GO:0070234","GO:0070234","positive regulation of T cell apoptotic process","6/1430","15/18903",0.0005111927312432,0.00607379101392555,0.00479054766054326,"PDCD1/IDO1/ADAM8/P2RX7/LGALS9/CCL5",6
"473","GO:1902563","GO:1902563","regulation of neutrophil activation","6/1430","15/18903",0.0005111927312432,0.00607379101392555,0.00479054766054326,"FCGR2B/SPI1/ITGAM/CD300A/PRAM1/ITGB2",6
"469","GO:0085029","GO:0085029","extracellular matrix assembly","11/1430","46/18903",0.000503891167896817,0.00602525183740449,0.00475226362377043,"NTNG1/PXDN/LOX/COL1A2/NTN4/RGCC/FBLN5/THSD4/FKBP10/TGFB1/GPM6B",11
"470","GO:0097178","GO:0097178","ruffle assembly","11/1430","46/18903",0.000503891167896817,0.00602525183740449,0.00475226362377043,"TACSTD2/PFN2/ARHGEF26/NLGN1/ARHGAP24/COBL/CAV1/AIF1L/CSPG4/EPS8L1/SH3BP1",11
"468","GO:0002028","GO:0002028","regulation of sodium ion transport","17/1430","92/18903",0.000484353718179155,0.00581638439351891,0.00458752475765277,"ATP1A1/ATP1B1/GPD1L/PTPN3/FXYD4/ANK3/KCNQ1/WNK1/CNTN1/NOS1/P2RX7/PRSS8/NETO2/WNK4/NEDD4L/SCN1B/FXYD5",17
"467","GO:0042093","GO:0042093","T-helper cell differentiation","14/1430","68/18903",0.000482313701893526,0.00580428908916835,0.00457798489501553,"SLAMF6/LY9/HLX/NLRP3/CD86/HLA-DRA/GATA3/CRACR2A/GPR183/BATF/SPN/JAK3/IL12RB1/NFKBID",14
"466","GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","8/1430","26/18903",0.000477951244447663,0.00576413303389671,0.00454631283119293,"CD1D/CD74/HLA-F/HLA-G/HLA-A/HLA-B/HLA-DRA/TAP1",8
"464","GO:0001776","GO:0001776","leukocyte homeostasis","18/1430","100/18903",0.000466457341803085,0.00563761346437277,0.00444652374948,"IL20RB/GAPT/GCNT4/CD74/SIT1/NCKAP1L/P2RX7/SLC15A4/GPR183/TNFSF13B/CCNB2/CORO1A/LGALS9/JAK3/AXL/ADA/BTK/SASH3",18
"465","GO:0030316","GO:0030316","osteoclast differentiation","18/1430","100/18903",0.000466457341803085,0.00563761346437277,0.00444652374948,"TMEM178A/TNFAIP6/INPP5D/TLR3/CSF1R/TREM2/SFRP1/GPR183/LRRK1/CCL3/FSTL3/TYROBP/OSCAR/LILRB3/LILRB1/LILRB4/RASSF2/GPC3",18
"463","GO:0140546","GO:0140546","defense response to symbiont","40/1430","305/18903",0.000460687808514779,0.00559193409039538,0.00441049530898201,"AGBL4/GBP1/PTPN22/IFI16/AIM2/PTPRC/SPON2/CXCL9/CXCL10/TLR2/TLR3/CARD9/PRF1/DDIT4/TSPAN32/BIRC3/CASP1/OASL/RNASE6/RNASE2/IRF9/NMB/ISG20/PYCARD/ITGAX/NLRC5/MLKL/SLFN11/SLFN13/UNC13D/IL12RB1/GARIN5A/LILRB1/SAMHD1/CD40/APOBEC3C/APOBEC3G/APOBEC3H/TLR7/TLR8",40
"462","GO:0007043","GO:0007043","cell-cell junction assembly","24/1430","152/18903",0.000455902797252636,0.00554583056398228,0.00437413232907462,"CLDN19/ILDR1/CLDN11/CLDN16/ANK2/UGT8/CDH6/MARVELD2/OCLN/GJA1/MICALL2/CAV1/GRHL2/MPP7/PTPRO/CLDN10/IRX3/MARVELD3/CLDN7/CNTNAP1/GJC1/PRKCA/CLDN8/GJB1",24
"461","GO:2000351","GO:2000351","regulation of endothelial cell apoptotic process","13/1430","60/18903",0.000452681787024062,0.00551859358584648,0.00435264985765116,"ITGA4/SCG2/GATA2/NDNF/HLA-G/SERPINE1/TEK/MIR126/GATA3/CD248/RGCC/ANGPTL4/CD40",13
"457","GO:0001915","GO:0001915","negative regulation of T cell mediated cytotoxicity","5/1430","10/18903",0.000448997299482532,0.00549495394139912,0.00433400469137136,"FCGR2B/PTPRC/HLA-G/NCKAP1L/LILRB1",5
"458","GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","5/1430","10/18903",0.000448997299482532,0.00549495394139912,0.00433400469137136,"HAVCR2/APBB1IP/ITGAL/LGALS9/LILRB1",5
"459","GO:0033007","GO:0033007","negative regulation of mast cell activation involved in immune response","5/1430","10/18903",0.000448997299482532,0.00549495394139912,0.00433400469137136,"CD84/ENPP3/LGALS9/CD300A/HMOX1",5
"460","GO:0002888","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","7/1430","20/18903",0.000449764913352953,0.00549495394139912,0.00433400469137136,"FCGR1A/SPI1/ITGAM/C3/TYROBP/ITGB2/BTK",7
"454","GO:0050848","GO:0050848","regulation of calcium-mediated signaling","16/1430","83/18903",0.0004303370158152,0.00531151702740868,0.00418932350672747,"GBP1/PLEK/ZAP70/TRAT1/TREM2/MYOZ1/TBC1D10C/CD3E/CD4/CLEC7A/HOMER2/CCL3/CCL4/SLA2/ADA/RGN",16
"455","GO:0015849","GO:0015849","organic acid transport","42/1430","324/18903",0.000430436512663488,0.00531151702740868,0.00418932350672747,"NR0B2/SLC2A1/SLC6A17/SLC16A1/KCNJ10/SLC19A2/AVPR1B/SLC1A4/SFXN5/PLA2R1/SLC11A1/SLC6A1/NPY5R/SLC1A3/EMB/FABP6/SLC16A10/GJA1/FABP7/MPC1/SLC29A4/ABCB1/FABP5/SLC26A7/PLIN2/NTRK2/SFXN2/FOLR3/SLC16A7/P2RX7/SLC15A4/SLC7A8/BDKRB2/PLA2G4F/NMB/ABAT/UMOD/SLC13A2/ABCC3/LLGL2/SLC16A3/XK",42
"456","GO:0051607","GO:0051607","defense response to virus","40/1430","304/18903",0.000430970064857359,0.00531151702740868,0.00418932350672747,"AGBL4/GBP1/PTPN22/IFI16/AIM2/PTPRC/SPON2/CXCL9/CXCL10/TLR2/TLR3/CARD9/PRF1/DDIT4/TSPAN32/BIRC3/CASP1/OASL/RNASE6/RNASE2/IRF9/NMB/ISG20/PYCARD/ITGAX/NLRC5/MLKL/SLFN11/SLFN13/UNC13D/IL12RB1/GARIN5A/LILRB1/SAMHD1/CD40/APOBEC3C/APOBEC3G/APOBEC3H/TLR7/TLR8",40
"452","GO:1902600","GO:1902600","proton transmembrane transport","25/1430","160/18903",0.000412418829725818,0.00512286128163332,0.00404052610169655,"ATP1A1/ATP1B1/ATP6V1G3/ATP6V1C2/ATP6V1B1/SLC9A4/SLC9A2/SLC11A1/UQCRC1/ATP6V1A/SLC15A2/SLC9A3/NNT/ATP6V0A4/ATP6V0E2/ATP6V1H/MFSD3/SLC15A4/ATP12A/SLC47A2/ATP5F1A/UQCRFS1/COX4I2/CLCN5/SLC25A5",25
"453","GO:1903531","GO:1903531","negative regulation of secretion by cell","24/1430","151/18903",0.000412928142451938,0.00512286128163332,0.00404052610169655,"CD84/FCGR2B/INHBB/IRS1/CCR2/CD200/P2RY1/ADRA2C/HADH/NPY5R/CRHBP/HLA-F/GJA1/SFRP1/SPI1/NCKAP1L/NMB/ABAT/LGALS9/CD300A/RHBDF2/LILRB1/HMOX1/SYTL4",24
"451","GO:0002381","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response","15/1430","74/18903",0.000366772741101943,0.00457042750552754,0.00360480805877065,"PTPRC/GAPT/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/SLC15A4/BATF/TGFB1/CD40/BTK",15
"450","GO:0031348","GO:0031348","negative regulation of defense response","37/1430","272/18903",0.000365693324989907,0.00456710330320728,0.00360218617902338,"TNFAIP8L2/IFI16/SLAMF8/FCGR2B/PTPRC/SUSD4/NLRP3/TNFAIP6/CD96/CD200/IL20RB/NPY5R/PLK2/HAVCR2/HLA-F/HLA-G/HLA-A/HLA-B/TREM2/ENPP3/AOAH/TEK/MIR126/GATA3/ALOX5/ARG2/TYRO3/NLRC5/LGALS9/RHBDF2/HAMP/SIGLEC10/LILRB1/CST7/HCK/SAMHD1/ADA",37
"448","GO:0007015","GO:0007015","actin filament organization","55/1430","454/18903",0.0003539943103497,0.00443350259674972,0.00349681203126299,"ASAP3/TACSTD2/PROX1/PLEK/ARHGAP25/TACR1/TMSB10/CATIP/HCLS1/PFN2/RHOH/SHROOM3/JMY/RHOBTB3/CYFIP2/CARMIL1/CCN2/MICALL2/SCIN/ELMO1/MYO1G/COBL/EPHA1/SFRP1/AIF1L/FAM171A1/NEBL/CXCL12/PDLIM1/SPTBN2/RAPGEF3/NCKAP1L/GAS2L3/WASF3/RGCC/LCP1/SPTB/GPR65/CGNL1/CORO2B/PSTPIP1/CORO1A/PYCARD/CCR7/SAMD14/FHOD3/MYO1F/GMFG/PLEKHG2/HCK/RAC2/SH3BP1/WAS/TENM1/FRMD7",55
"449","GO:0031579","GO:0031579","membrane raft organization","8/1430","25/18903",0.00035420688006061,0.00443350259674972,0.00349681203126299,"CD2/PTPRC/MAL/DOCK2/CAV2/CAV1/FA2H/YJEFN3",8
"447","GO:0072577","GO:0072577","endothelial cell apoptotic process","14/1430","66/18903",0.00034924805328842,0.00439099342165754,0.00346328400423299,"ITGA4/SCG2/COL4A3/GATA2/NDNF/HLA-G/SERPINE1/TEK/MIR126/GATA3/CD248/RGCC/ANGPTL4/CD40",14
"446","GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity","9/1430","31/18903",0.000346228588379732,0.00436279073249797,0.00344103985288424,"CD1D/PTPRC/HLA-F/HLA-G/HLA-A/HLA-B/HLA-DRA/P2RX7/IL12RB1",9
"444","GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","12/1430","51/18903",0.000332962361952318,0.00420505275094838,0.00331662804537247,"VCAM1/NECTIN4/NLGN1/CRB2/CD6/CADM1/JAML/ITGA5/UMOD/ITGAL/CDH4/TENM1",12
"445","GO:0043277","GO:0043277","apoptotic cell clearance","12/1430","51/18903",0.000332962361952318,0.00420505275094838,0.00331662804537247,"RHOH/C2/C4A/C4B/TREM2/SCARB1/TYRO3/CD300LF/C3/TYROBP/AXL/RAC2",12
"439","GO:0002467","GO:0002467","germinal center formation","6/1430","14/18903",0.000327630538546243,0.00415639644837446,0.00327825162841447,"KLHL6/CXCL13/TNFSF13B/UNC13D/FOXJ1/ADA",6
"440","GO:0006000","GO:0006000","fructose metabolic process","6/1430","14/18903",0.000327630538546243,0.00415639644837446,0.00327825162841447,"PFKFB2/PFKFB4/FBP1/ALDOB/SORD/ALDOC",6
"441","GO:0043374","GO:0043374","CD8-positive, alpha-beta T cell differentiation","6/1430","14/18903",0.000327630538546243,0.00415639644837446,0.00327825162841447,"RUNX3/EOMES/TOX/TNFSF8/NCKAP1L/LILRB4",6
"442","GO:0046598","GO:0046598","positive regulation of viral entry into host cell","6/1430","14/18903",0.000327630538546243,0.00415639644837446,0.00327825162841447,"CD74/TMPRSS4/CD4/LGALS9/TMPRSS2/LGALS1",6
"443","GO:0075294","GO:0075294","positive regulation by symbiont of entry into host","6/1430","14/18903",0.000327630538546243,0.00415639644837446,0.00327825162841447,"CD74/TMPRSS4/CD4/LGALS9/TMPRSS2/LGALS1",6
"438","GO:0007589","GO:0007589","body fluid secretion","17/1430","89/18903",0.000323046327732307,0.00414502365720449,0.00326928162961006,"HK2/TACR1/ERBB4/SLC6A3/CDO1/VEGFA/CAV1/CEL/SLC29A2/CCND1/ANO1/WNK1/VDR/SCNN1B/WNK4/ADA/APLN",17
"436","GO:0070229","GO:0070229","negative regulation of lymphocyte apoptotic process","10/1430","37/18903",0.00031218785721803,0.00402100258117206,0.00317146317087761,"PDCD1/CD74/IDO1/PRKCQ/CD27/ARG2/AURKB/CCL5/JAK3/ADA",10
"437","GO:0045953","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","7/1430","19/18903",0.000312665147326012,0.00402100258117206,0.00317146317087761,"HAVCR2/HLA-F/HLA-G/HLA-A/HLA-B/LGALS9/LILRB1",7
